,CAGR,Vol,Sharpe,MDD,Calmar,2008_MDD,2020_MDD,2022_MDD,CAGR_vs_IC,MDD_vs_IC,Sharpe_vs_IC
000. Baseline (IC Original),0.19151966421297972,0.1950350414240872,0.981975663524671,-0.25233763608942256,0.7589817641990972,-0.20097666627484018,-0.17258010792060102,-0.18404169056664657,0.0,0.0,0.0
001. Extreme Greed 20% SHY Trimmer,0.19119222125817292,0.1938073456783648,0.9865065773898383,-0.24990005574097787,0.7650747443463727,-0.20097666627484093,-0.17258010792060038,-0.18404169056664607,-0.0003274429548068003,0.0024375803484446845,0.004530913865167241
002. Extreme Greed 30% IEF Trimmer,0.18997173992801542,0.19388170895596013,0.9798332238301404,-0.25233763608942245,0.7528474264564085,-0.20097666627484018,-0.17258010792060038,-0.18404169056664557,-0.0015479242849643082,1.1102230246251565e-16,-0.002142439694530651
003. Two-Tier Tiered De-risking,0.1895811019938458,0.19287620050888216,0.9829159921942542,-0.24671961756880073,0.768407084373738,-0.20097666627484018,-0.17258010792060066,-0.18404169056664604,-0.0019385622191339102,0.005618018520621826,0.000940328669583157
004. Linear Greed Decay (F&G>70),0.1898171789560732,0.19317614455847565,0.9826119026752516,-0.24730697230248108,0.7675367062595706,-0.20097666627483965,-0.17258010792060038,-0.1840416905666464,-0.0017024852569065274,0.005030663786941475,0.0006362391505805309
005. Overheating Gold Switch in Reflation,0.1912513051667697,0.194576288492656,0.982911672580229,-0.25233763608942256,0.7579182722429669,-0.20097666627484018,-0.17258010792060102,-0.18404169056664657,-0.0002683590462100316,0.0,0.0009360090555580181
006. Bear Market Panic BIL Escape,0.17393696584718343,0.18799777531218712,0.925207575240428,-0.2903424791578799,0.5990751554911175,-0.14482490896478986,-0.14680404062307428,-0.18722502662116064,-0.01758269836579629,-0.03800484306845736,-0.05676808828424307
007. Bear Market Flight to IEF,0.17976151386516315,0.19140592829867342,0.9391637733636958,-0.3192288147397938,0.5631118043391174,-0.12651573911943478,-0.14680404062307412,-0.22030871832323898,-0.011758150347816576,-0.06689117865037125,-0.0428118901609752
008. Zero-Duration Safeguard (SHY 100%),0.184610777037028,0.19072669063668338,0.9679336249203546,-0.2929574087754049,0.6301625134135433,-0.14492008286073266,-0.17258010792060036,-0.190219921042556,-0.006908887175951728,-0.040619772685982325,-0.01404203860431641
009. Greed Momentum Exhaustion Trigger,0.19151966421297972,0.1950350414240872,0.981975663524671,-0.25233763608942256,0.7589817641990972,-0.20097666627484018,-0.17258010792060102,-0.18404169056664657,0.0,0.0,0.0
010. Fear Bottom Rebound Accelerator,0.19151966421297972,0.1950350414240872,0.981975663524671,-0.25233763608942256,0.7589817641990972,-0.20097666627484018,-0.17258010792060102,-0.18404169056664657,0.0,0.0,0.0
011. Volatility x Greed Dual Lock,0.19202469969934244,0.19492018158061128,0.9851452945621673,-0.2523376360894234,0.7609831917078463,-0.20097666627484018,-0.17258010792060038,-0.18404169056664635,0.0005050354863627149,-8.326672684688674e-16,0.0031696310374962344
012. Internal Breadth Divergence Hedge,0.18071871332033917,0.18487284719774208,0.9775297782212463,-0.25233763608942217,0.7161781972796835,-0.2009766662748401,-0.1495473490242126,-0.18404169056664565,-0.010800950892640548,3.885780586188048e-16,-0.0044458853034247126
013. Dynamic Defensive Dual Treasury Tilt,0.18420582210351388,0.1884346402818533,0.9775581699202752,-0.28298277629632856,0.6509435822009912,-0.12796323653497926,-0.14680404062307434,-0.1787959152234898,-0.00731384210946584,-0.030645140206906007,-0.004417493604395806
014. Exponential Greed Dampener,0.1914519531052461,0.1941881089452346,0.9859097662835773,-0.2518912569464338,0.7600579528886131,-0.2009766662748405,-0.17258010792060066,-0.184041690566646,-6.771110773362565e-05,0.00044637914298878423,0.003934102758906266
015. AVSA Crash Protector (SHY/IEF),0.1701642787692823,0.18480171373318263,0.920793835358941,-0.2989952286818234,0.5691203820190827,-0.126442344852961,-0.14680404062307417,-0.1974386824585093,-0.021355385443697417,-0.04665759259240082,-0.061181828165730034
016. XLK Tech Euphoria Cap,0.1912319324533902,0.19420310625424836,0.9847006885823529,-0.2570065338669616,0.7440742053366654,-0.20097666627484034,-0.17258010792060036,-0.18404169056664646,-0.0002877317595895157,-0.004668897777539038,0.002725025057681907
017. XLK Secular Bull Dip Unconditional,0.19151966421297972,0.1950350414240872,0.981975663524671,-0.25233763608942256,0.7589817641990972,-0.20097666627484018,-0.17258010792060102,-0.18404169056664657,0.0,0.0,0.0
018. XLE Material (XLB) Dispersion,0.18999547498369962,0.19338846889024228,0.9824550350596738,-0.2505316063074225,0.7583692843551239,-0.20097666627484004,-0.17258010792060055,-0.184041690566646,-0.001524189229280104,0.0018060297820000626,0.0004793715350027705
019. XLE Industrial (XLI) Support Blend,0.17748832497520572,0.19102459708398298,0.9291385909699048,-0.2523376360894232,0.7033763481572267,-0.20097666627484043,-0.17258010792060058,-0.18404169056664646,-0.014031339237773999,-6.661338147750939e-16,-0.05283707255476622
020. XLU Rate Shock Shield,0.19029563204776068,0.19178482654870532,0.9922350765295478,-0.26671176714913136,0.7134879502386456,-0.1681057455757272,-0.17258010792060044,-0.16933750933161296,-0.0012240321652190467,-0.014374131059708806,0.01025941300487676
021. XLU Commodity (DBC) Stagflation Pair,0.1951703133960352,0.1945018095446733,1.0034370058197755,-0.2668558368312178,0.7313698501542517,-0.192896953289951,-0.17258010792060022,-0.18404169056664654,0.0036506491830554655,-0.014518200741795217,0.021461342295104435
022. XLP/IEF Dynamic Reciprocal Tilt,0.19366306326057336,0.1939226586430068,0.9986613457950195,-0.25197959870293524,0.7685664405271451,-0.1736129424220383,-0.14680404062307437,-0.17879570146005758,0.0021433990475936415,0.00035803738648731986,0.0166856822703485
023. Semiconductor (SOXX) Alpha Accelerator,0.17295951093576467,0.21829541519729084,0.7923185687589795,-0.34522222244746065,0.5010092041861163,-0.20097666627484062,-0.18417620397869233,-0.1840416905666462,-0.018560153277215052,-0.09288458635803809,-0.18965709476569148
024. Broad Commodity (DBC) in Reflation Greed,0.18448919612193326,0.19114738325301012,0.9651672598506681,-0.2802450923274324,0.6583137445503596,-0.20097666627484048,-0.17258010792060022,-0.18404169056664646,-0.00703046809104646,-0.02790745623800983,-0.016808403674002936
025. TIPS (TIP) Stagflation Safe Haven,0.18793357148012957,0.19065328076306376,0.9857347889737385,-0.2807742881690686,0.6693403897687566,-0.1425141696160552,-0.1725801079206003,-0.17626652065480952,-0.0035860927328501546,-0.02843665207964602,0.003759125449067424
026. Nasdaq QQQ Expansion Dual Engine,0.18256590451540688,0.19367089510112748,0.9426605087980722,-0.2546674263301156,0.7168796855815935,-0.20097666627484026,-0.17258010792060033,-0.18404169056664657,-0.008953759697572838,-0.0023297902406930193,-0.039315154726598855
027. Healthcare (XLV) Defensive Pairing,0.18485727369803295,0.19644498340058567,0.9410129518099052,-0.2990521849889303,0.6181438657767225,-0.2990521849889303,-0.17258010792060047,-0.1837310695199088,-0.00666239051494677,-0.04671454889950777,-0.04096271171476584
028. Financials (XLF) Rate Hike Partner,0.16909736325336389,0.18281972311700853,0.924940484376174,-0.2621202917569534,0.6451135931519432,-0.20097666627484023,-0.17258010792060033,-0.19471795242700843,-0.022422300959615837,-0.009782655667530837,-0.057035179148496984
029. Real Estate (IYR) Stagflation Rotation,0.1886578875477376,0.19643481206878757,0.960409642063207,-0.3215812680377465,0.586656955173127,-0.3215812680377465,-0.1725801079206004,-0.18404169056664657,-0.0028617766652421217,-0.06924363194832395,-0.021566021461464024
030. 4-Quadrant Softmax Balanced Model,0.1713772566993501,0.17599232044647614,0.9737769026772416,-0.2496148498632802,0.6865667519108634,-0.2030941497108866,-0.19839342906093813,-0.16148015431810855,-0.020142407513629612,0.0027227862261423597,-0.008198760847429432
031. Bull Trap 50% Entry Filter,0.17584915671399703,0.1877379580972974,0.9366734276659233,-0.25233763608942283,0.696880415617748,-0.20097666627484065,-0.17258010792060013,-0.18404169056664607,-0.01567050749898269,-2.7755575615628914e-16,-0.04530223585874771
032. Multi-Tier Bull Trap & Greed Sizer,0.1658798973013198,0.17902113707583836,0.9265939207561197,-0.249305780633141,0.6653672324807252,-0.2009766662748405,-0.17258010792060058,-0.18404169056664668,-0.025639766911659922,0.003031855456281568,-0.055381742768551345
033. Bear Trap Whipsaw Ignorer,0.19174114600233594,0.1952851924895194,0.9818519446251734,-0.2523376360894237,0.7598594841967469,-0.20097666627484018,-0.17258010792060044,-0.18404169056664668,0.00022148178935621488,-1.1657341758564144e-15,-0.0001237188994975824
